
﻿Liste des attributs	Nom du produit	Identifiant produit	Identifiant déclinaison	ean13 décl.	Prix d'achat HT	 Impact sur prix de vente (HT/TTC suivant PS version) 	 Impact sur prix de vente TTC 	 Prix de vente déclinaison HT avant remises 	 Prix de vente déclinaison TTC avant remises 	Montant de remise
1	WIND PROOF BEIGE	6430	1810	2035664383488	18,4			32,50 €	39,00 €	
2	WIND PROOF BEIGE	6430	1811	2049658150758	18,4			32,50 €	39,00 €	
3	WIND PROOF BEIGE	6430	1812	2034869478234	18,4			32,50 €	39,00 €	
4	WIND PROOF BEIGE	6430	1813	2053398270805	18,4			32,50 €	39,00 €	
5	WIND PROOF BEIGE	6430	1814	2085617008678	18,4			32,50 €	39,00 €	
1	WIND PROOF BLANC	6431	1815	2008006112794	18,4			32,50 €	39,00 €	
2	WIND PROOF BLANC	6431	1816	2001968861106	18,4			32,50 €	39,00 €	
3	WIND PROOF BLANC	6431	1817	2092390999727	18,4			32,50 €	39,00 €	
4	WIND PROOF BLANC	6431	1818	2042763264693	18,4			32,50 €	39,00 €	
5	WIND PROOF BLANC	6431	1819	2087128846527	18,4			32,50 €	39,00 €	
4	WIND PROOF ROSE	6432	1823	2039100274194	18,4			32,50 €	39,00 €	
3	WIND PROOF ROSE	6432	1822	2058440924835	18,4			32,50 €	39,00 €	
2	WIND PROOF ROSE	6432	1821	2079612148965	18,4			32,50 €	39,00 €	
1	WIND PROOF ROSE	6432	1820	2074800782365	18,4			32,50 €	39,00 €	
5	WIND PROOF ROSE	6432	1824	2007717732062	18,4			32,50 €	39,00 €	
2 à 3	TEE SHIRT ENFANT BLEU	6470	1835	2093526722639	8			20,83 €	25,00 €	
1 à 2	TEE SHIRT ENFANT BLEU	6470	1834	2042268440547	8			20,83 €	25,00 €	
0 à 1	TEE SHIRT ENFANT BLEU	6470	1833	2087692847746	8			20,83 €	25,00 €	
3 à 4	TEE SHIRT ENFANT BLEU	6470	1836	2059802204329	8			20,83 €	25,00 €	
6 à 7	TEE SHIRT ENFANT BLEU	6470	1837	2012072085036	8			20,83 €	25,00 €	
12 à 14	TEE SHIRT ENFANT BLEU	6470	1839	2049748553476	8			20,83 €	25,00 €	
9 à 10	TEE SHIRT ENFANT BLEU	6470	1838	2008605042119	8			20,83 €	25,00 €	
0 à 1	TEE SHIRT ENFANT CORAIL	6471	1840	2012884078806	8,6			20,83 €	25,00 €	
1 à 2	TEE SHIRT ENFANT CORAIL	6471	1841	2045129312960	8,6			20,83 €	25,00 €	
2 à 3	TEE SHIRT ENFANT CORAIL	6471	1842	2059942591310	8,6			20,83 €	25,00 €	
6 à 7	TEE SHIRT ENFANT CORAIL	6471	1844	2080345904759	8,6			20,83 €	25,00 €	
3 à 4	TEE SHIRT ENFANT CORAIL	6471	1843	2064268295514	8,6			20,83 €	25,00 €	
12 à 14	TEE SHIRT ENFANT CORAIL	6471	1846	2059853961493	8,6			20,83 €	25,00 €	
9 à 10	TEE SHIRT ENFANT CORAIL	6471	1845	2055180978098	8,6			20,83 €	25,00 €	
2 à 3	TEE SHIRT ENFANT PANNEAU	6472	1849	2009858702676	8,6			20,83 €	25,00 €	
0 à 1	TEE SHIRT ENFANT PANNEAU	6472	1847	2016352970098	8,6			20,83 €	25,00 €	
1 à 2	TEE SHIRT ENFANT PANNEAU	6472	1848	2058006358746	8,6			20,83 €	25,00 €	
12 à 14	TEE SHIRT ENFANT PANNEAU	6472	1853	2092620515062	8,6			20,83 €	25,00 €	
6 à 7	TEE SHIRT ENFANT PANNEAU	6472	1851	2010825158143	8,6			20,83 €	25,00 €	
3 à 4	TEE SHIRT ENFANT PANNEAU	6472	1850	2083379620350	8,6			20,83 €	25,00 €	
