id,nom,reference,image,ean13,categorie,prix_ht,prix_ttc,stock,remisable,article_remisable,declinaisons
6009,"SEAU INOX PETIT BLONDE",600,,2042304268173,VASQUE ET SEAU,15.83,19.00,0,true,true,"[]"
6010,"SEAU INOX PETIT TROPEZ",605,,2027814663151,VASQUE ET SEAU,15.83,19.00,0,true,true,"[]"
6011,"VASQUE VELA TROPEZ",610,,2004572457307,VASQUE ET SEAU,49.17,59.00,-3,true,true,"[]"
6012,"VASQUE VELA CLEAR TROPEZ",611,,2036025539315,VASQUE ET SEAU,50.00,60.00,-5,true,true,"[]"
6013,"VASQUE VELA UNI",612,,2073567763594,VASQUE ET SEAU,49.17,59.00,0,true,true,"[]"
6014,"VASQUE VELA CLEAR UNI",613,,2090133299240,VASQUE ET SEAU,50.00,60.00,0,true,true,"[]"
6015,"VASQUE NICETROPEZ",614,,2048610097902,VASQUE ET SEAU,49.17,59.00,6,true,true,"[]"
6016,"VASQUE NICE CLEAR TROPEZ",615,,2029542191722,VASQUE ET SEAU,49.17,59.00,-1,true,true,"[]"
6017,"VASQUE VICTORIA TROPEZ",620,,2027023494744,VASQUE ET SEAU,45.83,55.00,-9,true,true,"[]"
6018,"VASQUE VICTORIA CLEAR TROPEZ",621,,2031158520650,VASQUE ET SEAU,45.83,55.00,8,true,true,"[]"
6019,"VASQUE VICTORIA ILY",622,,2034343272846,VASQUE ET SEAU,45.83,55.00,3,true,true,"[]"
6020,"VASQUE ANSE TROPEZ",630,,2094226407826,VASQUE ET SEAU,37.50,45.00,0,true,true,"[]"
6021,"VASQUE ANSE MAXIME",631,,2038961785238,VASQUE ET SEAU,37.50,45.00,0,true,true,"[]"
6022,"VASQUE ANSE UNI",632,,2055957633250,VASQUE ET SEAU,37.50,45.00,0,true,true,"[]"
6023,"VASQUE BULLE TROPEZ",640,,2067426062577,VASQUE ET SEAU,91.67,110.00,1,true,true,"[]"
6024,"VASQUE BULLE UNI",641,,2087449848132,VASQUE ET SEAU,87.50,105.00,-3,true,true,"[]"
6025,"COOL BAG 1 BT KDO",650,,2077564296451,COOL BAG,4.17,5.00,5,true,true,"[]"
6026,"COOL BAG  MOYEN KDO",651,,2089499266614,COOL BAG,5.00,6.00,57,true,true,"[]"
6027,"COOL BAG GRAND KDO",652,,2043676450760,COOL BAG,5.83,7.00,20,true,true,"[]"
6028,"COOL BAG SAND SABLE DOMAINE TROPEZ",653,,2040946451670,COOL BAG,4.17,5.00,0,true,true,"[]"
6029,"COOL BAG SAUMON DOMAINE TROPEZ",654,,2064349372264,COOL BAG,4.17,5.00,0,true,true,"[]"
6030,"COOL BAG UP",655,,2080513821147,COOL BAG,4.17,5.00,0,true,true,"[]"
6037,"TABLIER BEIGE",670,,2063096653596,VETEMENT,12.50,15.00,0,true,true,"[]"
6038,"TABLIER NOIR",671,,2012862418631,VETEMENT,4.17,5.00,0,true,true,"[]"
6039,"TABLIER PROVENCAL",672,,2090574728224,VETEMENT,12.50,15.00,0,true,true,"[]"
6040,"CHEICH TROPEZ BEIGE",675,,2053507812292,VETEMENT,24.92,29.90,0,true,true,"[]"
6041,"CHEICH TROPEZ BLEU",676,,2006409628379,VETEMENT,24.92,29.90,5,true,true,"[]"
6042,"ECHARPE VICHY ROSE",680,,2048352805834,VETEMENT,4.17,5.00,3,true,true,"[]"
6043,"FOULARD",690,,2066863231140,VETEMENT,12.50,15.00,0,true,true,"[]"
6044,"PAREO ROBE VICHY ROSE",695,,2096217594270,VETEMENT,20.75,24.90,0,true,true,"[]"
6045,"PAREO VICHY ROSE",696,,2034385642799,VETEMENT,8.33,10.00,0,true,true,"[]"
6046,"CHOUCHOU ROSE",697,,2092545665224,VETEMENT,2.50,3.00,0,true,true,"[]"
6047,"ICE TROPEZ PECHE 27.5",700,,3760004440093,ICE TROPEZ,2.42,2.90,-156,true,true,"[]"
6048,"ICE TROPEZ EXOTIQUE",701,,3760004441274,ICE TROPEZ,2.42,2.90,30,true,true,"[]"
6049,"ICE TROPEZ PECHE  NO ALCOOL",702,,3760004440017,ICE TROPEZ,2.42,2.90,44,true,true,"[]"
6050,"ICE TROPEZ PECHE LITRE",703,,3760004440796,ICE TROPEZ,6.25,7.50,-15,true,true,"[]"
6051,"ICE TROPEZ PECHE LITRE NO ALCOOL",704,,3760004440802,ICE TROPEZ,5.17,6.20,-7,true,true,"[]"
6052,"UP ROSE 75",710,,3760033596679,VIN,15.00,18.00,3,true,true,"[]"
6053,"UP ROSE 150",711,,3760033597447,VIN,35.00,42.00,1,true,true,"[]"
6054,"UP ROSE 300",712,,3760033597461,VIN,74.17,89.00,2,true,true,"[]"
6055,"UP ROSE 600",713,,3760033598864,VIN,208.33,250.00,2,true,true,"[]"
6056,"UP BLANC 75",714,,3760033596860,VIN,15.00,18.00,1,true,true,"[]"
6057,"UP ROUGE 75",715,,3760033596846,VIN,15.00,18.00,0,true,true,"[]"
6063,"WHITE TROPEZ 75 ROSE",730,,3760004440178,VIN,13.33,16.00,-8,true,true,"[]"
6064,"WHITE TROPEZ 150 ROSE",731,,3760004440369,VIN,20.83,25.00,2,true,true,"[]"
6065,"WHITE TROPEZ 300 ROSE",732,,3760004441236,VIN,70.83,85.00,3,true,true,"[]"
6066,"WHITE TROPEZ 600 ROSE",733,,2027962121831,VIN,249.17,299.00,1,true,true,"[]"
6067,"VIN BLUE LUXE",740,,8032738621266,VIN,43.33,52.00,1,true,true,"[]"
6068,"VIN ORO LUXE",741,,2099435891442,VIN,40.00,48.00,3,true,true,"[]"
6069,"VIN ROSSO LUXE",742,,2069876568616,VIN,40.00,48.00,2,true,true,"[]"
6070,"VIN TITANE LUXE",743,,8032738621280,VIN,48.33,58.00,0,true,true,"[]"
